Year,Housing Units,People Left Homeless,Minors Left Homeless,Area,Type of Structure,Demolish Scope,District,Demolition Reason,Demolition carried out by
2007,2,12,4,Gaza Strip,Residential Structure,Complete Demolition,North Gaza,Demolition for alleged military purposes,
2007,1,3,1,Gaza Strip,Residential Structure,Complete Demolition,Rafah,Demolition for alleged military purposes,
2007,2,8,0,The West Bank (Excluding East Jerusalem),Residential Structure,Complete Demolition,Bethlehem,Demolition for alleged military purposes,
2007,16,62,20,The West Bank (Excluding East Jerusalem),Residential Structure,Complete Demolition,Nablus,Demolition for alleged military purposes,
2007,10,57,19,The West Bank (Excluding East Jerusalem),Residential Structure,Complete Demolition,Qalqiliya,Demolition for alleged military purposes,
2006,6,12,0,The West Bank (Excluding East Jerusalem),Residential Structure,,Al-Quds,Demolition on the pretext of unlawful construction,NA
2006,14,102,37,The West Bank (Excluding East Jerusalem),Residential Structure,,Bethlehem,Demolition on the pretext of unlawful construction,NA
2006,4,31,15,The West Bank (Excluding East Jerusalem),Residential Structure,,Hebron,Demolition on the pretext of unlawful construction,NA
2006,5,35,17,The West Bank (Excluding East Jerusalem),Residential Structure,,Jenin,Demolition on the pretext of unlawful construction,NA
2006,8,5,0,The West Bank (Excluding East Jerusalem),Residential Structure,,Qalqiliya,Demolition on the pretext of unlawful construction,NA
2006,6,0,0,The West Bank (Excluding East Jerusalem),Residential Structure,,Ramallah and al-Bira,Demolition on the pretext of unlawful construction,NA
2006,3,7,0,The West Bank (Excluding East Jerusalem),Residential Structure,,Salfit,Demolition on the pretext of unlawful construction,NA
2006,3,33,9,The West Bank (Excluding East Jerusalem),Residential Structure,,Tubas,Demolition on the pretext of unlawful construction,NA
2006,44,98,18,East Jerusalem,Residential Structure,,East Jerusalem,Demolition on the pretext of unlawful construction,Authorities
2006,6,25,0,Gaza Strip,Residential Structure,Complete Demolition,Deir al-Balah,Demolition for alleged military purposes,
2006,31,157,0,Gaza Strip,Residential Structure,Complete Demolition,Gaza,Demolition for alleged military purposes,
2006,27,120,0,Gaza Strip,Residential Structure,Complete Demolition,Khan Yunis,Demolition for alleged military purposes,
2006,94,585,0,Gaza Strip,Residential Structure,Complete Demolition,North Gaza,Demolition for alleged military purposes,
2006,158,"1,118",0,Gaza Strip,Residential Structure,Complete Demolition,Rafah,Demolition for alleged military purposes,
2006,2,0,0,The West Bank (Excluding East Jerusalem),Residential Structure,Complete Demolition,Jenin,Demolition for alleged military purposes,
2006,27,116,0,The West Bank (Excluding East Jerusalem),Residential Structure,Complete Demolition,Nablus,Demolition for alleged military purposes,
2006,5,15,0,The West Bank (Excluding East Jerusalem),Residential Structure,Complete Demolition,Qalqiliya,Demolition for alleged military purposes,
2006,5,14,0,The West Bank (Excluding East Jerusalem),Residential Structure,Complete Demolition,Tulkarm,Demolition for alleged military purposes,
2005,70,140,78,East Jerusalem,Residential Structure,,East Jerusalem,Demolition on the pretext of unlawful construction,Authorities
2005,5,28,0,Gaza Strip,Residential Structure,Complete Demolition,Khan Yunis,Demolition for alleged military purposes,
2005,1,4,0,The West Bank (Excluding East Jerusalem),Residential Structure,Complete Demolition,Jenin,Demolition for alleged military purposes,
2005,4,12,0,The West Bank (Excluding East Jerusalem),Residential Structure,Complete Demolition,Nablus,Demolition for alleged military purposes,
2005,2,7,0,The West Bank (Excluding East Jerusalem),Residential Structure,Complete Demolition,Ramallah and al-Bira,Demolition for alleged military purposes,
2005,5,23,0,The West Bank (Excluding East Jerusalem),Residential Structure,Complete Demolition,Tulkarm,Demolition for alleged military purposes,
2005,1,0,0,The West Bank (Excluding East Jerusalem),Residential Structure,Partial Demolition,Jenin,Demolition for alleged military purposes,
2005,1,0,0,The West Bank (Excluding East Jerusalem),Residential Structure,Partial Demolition,Nablus,Demolition for alleged military purposes,
2004,53,194,110,East Jerusalem,Residential Structure,,East Jerusalem,Demolition on the pretext of unlawful construction,Authorities
2004,27,138,0,Gaza Strip,Residential Structure,Complete Demolition,Deir al-Balah,Demolition for alleged military purposes,
2004,64,123,0,Gaza Strip,Residential Structure,Complete Demolition,Gaza,Demolition for alleged military purposes,
2004,408,"3,023",0,Gaza Strip,Residential Structure,Complete Demolition,Khan Yunis,Demolition for alleged military purposes,
2004,123,975,0,Gaza Strip,Residential Structure,Complete Demolition,North Gaza,Demolition for alleged military purposes,
2004,756,"6,325",0,Gaza Strip,Residential Structure,Complete Demolition,Rafah,Demolition for alleged military purposes,
